business_name,category,city,address,phone,source
Viet Bistro,"Breakfast, Brunch & Lunch Restaurants, Continental Restaurants, Restaurants",Indianapolis,5763 E 86th St,(317) 598-1899,YellowPages
Upper Crust Inc,"Pizza, Caterers, Italian Restaurants, Restaurants",Columbus,1400 E Broad St,(614) 258-3564,YellowPages
CrepeGuys,Restaurants,Indianapolis,5955 E 82nd St,(317) 913-9797,YellowPages
La Poderosa,"Mexican Restaurants, Latin American Restaurants, Restaurants",Indianapolis,3745 W Washington St,(317) 241-3752,YellowPages
KFC,"Take Out Restaurants, Chicken Restaurants, Fast Food Restaurants, Restaurants",Indianapolis,8820 E 21st St,(317) 897-0589,YellowPages
Sisters' Place Inc,"American Restaurants, Restaurants",Indianapolis,215 Terrace Ave,(317) 631-0441,YellowPages
Jimmy John's,"Restaurants, Restaurant Delivery Service, Sandwich Shops, Caterers",Indianapolis,2055 N. Shadeland Ave. Ste. A,(317) 354-8000,YellowPages
Bino's Soul Food Restaurant,Restaurants,Indianapolis,3305 Moller Rd,(317) 328-3868,YellowPages
Subway,"Take Out Restaurants, Sandwich Shops, Restaurants, Fast Food Restaurants",Indianapolis,3200 Cold Spring Rd,(317) 955-6315,YellowPages
New India Restaurant,"Indian Restaurants, Caterers, Restaurants",Indianapolis,9546 Allisonville Rd,(317) 849-2996,YellowPages
M & K Devine,Restaurants,Indianapolis,3749 W Washington St,(317) 248-0440,YellowPages
La Bamba Restaurant,"Family Style Restaurants, Mexican Restaurants, Restaurants",Indianapolis,111 S Meridian St,(317) 536-1200,YellowPages
Nameless Pizza Co,"Pizza, Restaurants",Indianapolis,306 Prospect St,(317) 423-2679,YellowPages
Hot Tuna Seafood Restaurant,"Family Style Restaurants, Restaurants",Indianapolis,40 Jackson Pl,(317) 687-5190,YellowPages
Fiesta Jalisco,"Mexican Restaurants, Bar & Grills, Family Style Restaurants, Mexican & Latin American Grocery Stores, Grocers-Ethnic Foods, Latin American Restaurants, Restaurants",Columbus,2640 E Dublin Granville Rd,(614) 890-2666,YellowPages
McDonald's,"Take Out Restaurants, Hamburgers & Hot Dogs, Restaurants, Fast Food Restaurants",Indianapolis,7000 Graham Rd,(317) 842-1467,YellowPages
Subway,"Restaurants, Sandwich Shops, Take Out Restaurants, Fast Food Restaurants",Indianapolis,7508 E Washington St,(317) 351-3300,YellowPages
Champps Americana,"Restaurants, Sports Bars, American Restaurants, Hamburgers & Hot Dogs",Columbus,3993 Morse Xing,(614) 476-2333,YellowPages
Specialty Restaurant,"Family Style Restaurants, Restaurants",Columbus,679 W Long St,(614) 224-9006,YellowPages
Yats West 86th,Restaurants,Indianapolis,5650 W 86th St # Ste 132,(317) 879-9287,YellowPages
Domino's Pizza,"Pizza, Take Out Restaurants, Restaurants, Fast Food Restaurants",Indianapolis,7750 S Meridian St,(317) 865-0330,YellowPages
56th St Italian Cuisine and More,"Pizza, Restaurants",Indianapolis,5645 N Post Rd,(317) 591-1856,YellowPages
Battery Park Saloon,Restaurants,Indianapolis,201 N Illinois St,(317) 237-3388,YellowPages
Ap,Restaurants,Indianapolis,1855 N Shadeland Ave,(317) 353-0836,YellowPages
Domino's Pizza,"Pizza, Take Out Restaurants, Restaurants, Fast Food Restaurants",Indianapolis,3851 Moller Rd,(317) 299-3030,YellowPages
Qdoba Mexican Grill,"Mexican Restaurants, Restaurants, Take Out Restaurants",Indianapolis,9 N Meridian St,(317) 822-0386,YellowPages
Taco Bell,"Restaurants, Mexican Restaurants, Fast Food Restaurants",Indianapolis,7098 Michigan Rd,(317) 293-2816,YellowPages
Two Fish,"Restaurants, Seafood Restaurants",Columbus,721 N High St,(614) 221-8600,YellowPages
China Buffet,"Chinese Restaurants, Restaurants",Columbus,2065 Eakin Rd,(614) 279-6888,YellowPages
McDonald's,"Take Out Restaurants, Hamburgers & Hot Dogs, Restaurants, Fast Food Restaurants",Indianapolis,4705 E 10th St,(317) 356-0770,YellowPages
Godfather's Pizza,"Pizza, Take Out Restaurants, Restaurants",Indianapolis,8923 S Meridian St,(317) 884-1010,YellowPages
Napolese By Patachou,"Pizza, Restaurants",Indianapolis,30 S Meridian St,(317) 635-0765,YellowPages
O'Charley's,"American Restaurants, Restaurants, Take Out Restaurants, Family Style Restaurants, Steak Houses",Columbus,1650 Georgesville Square Dr,(614) 853-2748,YellowPages
Sonic Drive-In,"Take Out Restaurants, Restaurants, Hamburgers & Hot Dogs, American Restaurants, Fast Food Restaurants",Indianapolis,8145 Bash St,(317) 570-0383,YellowPages
Waffle House,"Restaurants, Breakfast, Brunch & Lunch Restaurants",Indianapolis,4937 Knights Way I-465 Exit 4,(317) 788-1523,YellowPages
KFC,"Take Out Restaurants, Chicken Restaurants, Restaurants, Fast Food Restaurants",Indianapolis,2401 N Meridian St,(317) 923-2014,YellowPages
Dairy Queen,"Dessert Restaurants, Fast Food Restaurants, Restaurants, Ice Cream & Frozen Desserts, Hamburgers & Hot Dogs",Indianapolis,3826 English Ave,(317) 357-9455,YellowPages
Madison Soul Food Kitchen,"Soul Food Restaurants, American Restaurants, Restaurants",Columbus,1731 Greenway Ave,(614) 252-1657,YellowPages
KFC,"Restaurants, Chicken Restaurants, Take Out Restaurants, Fast Food Restaurants",Indianapolis,4250 E Southport Rd,(317) 788-7272,YellowPages
El Meson Mexican Restaurant,"Latin American Restaurants, Mexican Restaurants, Restaurants",Indianapolis,8218 Rockville Rd,(317) 209-9101,YellowPages
Caffe DaVinci,"Coffee & Espresso Restaurants, Breakfast, Brunch & Lunch Restaurants, Cafeterias, Pizza, Italian Restaurants, Coffee Shops, Restaurants",Columbus,3080 Tremont Rd Ste B,(614) 459-9945,YellowPages
Los Amigos Pancake House & Grille,"Mexican Restaurants, Restaurants",Indianapolis,6358 W 37th St,(317) 297-3773,YellowPages
Sportime Pizza,"Pizza, Restaurants",Indianapolis,3 Beachway Dr,(317) 487-9600,YellowPages
Wendy's,"Fast Food Restaurants, Restaurants, Hamburgers & Hot Dogs",Indianapolis,5230 E Thompson Rd,(317) 791-8603,YellowPages
Fortune Chinese Restaurant,"Chinese Restaurants, Family Style Restaurants, Take Out Restaurants, Asian Restaurants, Restaurants",Columbus,2869 Olentangy River Rd,(614) 263-1991,YellowPages
Gallagher's Place,"Pizza, Restaurants",Indianapolis,8028 S Emerson Ave,(317) 534-4949,YellowPages
Unlaven Bread Cafe,"Cafeterias, Breakfast, Brunch & Lunch Restaurants, Restaurants",Indianapolis,3003 Central Ave,(317) 920-5292,YellowPages
Tee Jaye's Country Place,"American Restaurants, Family Style Restaurants, Take Out Restaurants, Home Cooking Restaurants, Restaurants",Columbus,4910 N High St,(614) 885-1383,YellowPages
Daylight Donuts,"Donut Shops, Restaurants",Indianapolis,7339 Rockville Rd,(317) 209-0615,YellowPages
Starbucks Coffee,"Coffee & Tea, Coffee Shops, Restaurants, Coffee & Espresso Restaurants",Indianapolis,7205 E 96th St,(317) 595-5574,YellowPages
Taco Bell,"Fast Food Restaurants, Restaurants, Mexican Restaurants",Indianapolis,1402 N Arlington Ave,(317) 353-0214,YellowPages
Sarku Japan,"Japanese Restaurants, Restaurants, Fast Food Restaurants",Indianapolis,6020 E 82nd St Ste 1014,(317) 849-7883,YellowPages
Pizza Hut,"Pizza, Take Out Restaurants, Restaurants, Family Style Restaurants, Fast Food Restaurants",Indianapolis,2105 N Mitthoeffer Rd,(317) 894-4100,YellowPages
Rook,"Delicatessens, Restaurants",Indianapolis,719 Virginia Ave,(317) 759-5828,YellowPages
Deepwood,"American Restaurants, Banquet Halls & Reception Facilities, Bar & Grills, Restaurants",Columbus,511 N High St,(614) 221-5602,YellowPages
Subway,"Take Out Restaurants, Sandwich Shops, Restaurants, Fast Food Restaurants",Indianapolis,11816 E Washington St,(317) 891-0753,YellowPages
Los Cocos Inc,Restaurants,Indianapolis,8105 E Washington St,(317) 897-6206,YellowPages
Fresco Italian Sandwich Shop,"Sandwich Shops, Delicatessens, Italian Restaurants, Coffee Shops, Coffee & Espresso Restaurants, Restaurants",Indianapolis,320 N New Jersey St,(317) 423-2420,YellowPages
Due Amici Restaurant,"Italian Restaurants, Family Style Restaurants, Mediterranean Restaurants, Restaurants",Columbus,67 E Gay St,(614) 224-9373,YellowPages
McDonald's,"Restaurants, Take Out Restaurants, Fast Food Restaurants, Hamburgers & Hot Dogs",Indianapolis,6155 Crawfordsville Rd,(317) 244-7552,YellowPages
Jordan's Fish and Chicken 5 Corp,"Seafood Restaurants, Chicken Restaurants, American Restaurants, Restaurants",Indianapolis,9112 E 21st St,(317) 890-9900,YellowPages
Just Judy's,"Family Style Restaurants, Caterers, Take Out Restaurants, Steak Houses, Breakfast, Brunch & Lunch Restaurants, Cafeterias, Restaurants",Indianapolis,2210 E 54th St,(317) 254-4569,YellowPages
Circle Cafe,Restaurants,Indianapolis,31 W Ohio St,(317) 635-2000,YellowPages
Taco Bell,"Fast Food Restaurants, Mexican Restaurants, Restaurants",Indianapolis,2390 E Stop 11 Rd,(317) 881-0449,YellowPages
Ceres,Restaurants,Indianapolis,3925 River Crossing Pkwy Ste 50,(317) 581-6000,YellowPages
Moe & Johnny's,Restaurants,Indianapolis,5830 N College Ave,(317) 255-5220,YellowPages
White Castle,"Restaurants, American Restaurants, Hamburgers & Hot Dogs, Fast Food Restaurants",Indianapolis,2368 E 38th St,(317) 541-9805,YellowPages
Don Pablo's,"Mexican Restaurants, Restaurants, Take Out Restaurants, Family Style Restaurants, Caterers",Indianapolis,8150 US 31 S,(317) 888-0363,YellowPages
The Pearl,"American Restaurants, Restaurants",Columbus,641 N High St,(614) 227-0151,YellowPages
The Egg Roll King,"Chinese Restaurants, Asian Restaurants, Restaurants",Indianapolis,5035 W Washington St,(317) 244-4100,YellowPages
Bleecker Street,Restaurants,Indianapolis,6311 Guilford Ave,(317) 475-1209,YellowPages
Peet's Coffee & Tea,"Coffee & Tea, Coffee & Espresso Restaurants, Coffee Shops, Restaurants",Indianapolis,2550 Lake Circle Dr,(317) 879-2460,YellowPages
Ellington's Restaurant,"American Restaurants, Banquet Halls & Reception Facilities, Family Style Restaurants, Restaurants",Indianapolis,3912 Vincennes Rd,(317) 872-7700,YellowPages
Taco Bell,"Mexican Restaurants, Restaurants, Fast Food Restaurants",Indianapolis,7198 Michigan Rd,(317) 293-2816,YellowPages
Quaker Steak & Lube,"Restaurants, American Restaurants",Columbus,8500 Lyra Dr,(614) 430-9464,YellowPages
Panda Express,"Take Out Restaurants, Restaurants, Chinese Restaurants, Fast Food Restaurants",Indianapolis,645 W 11th St,(317) 635-9726,YellowPages
Donatos Pizzeria,"Pizza, Take Out Restaurants, Restaurants, Italian Restaurants",Indianapolis,7460 N Shadeland Ave,(317) 578-8722,YellowPages
Pitstop Pizza,"Pizza, Restaurants",Indianapolis,5250 W 16th St,(317) 246-7000,YellowPages
Qdoba Mexican Grill,"Mexican Restaurants, Restaurants, Take Out Restaurants",Indianapolis,5630 W 86th St Ste 150,(317) 876-8990,YellowPages
Peet's Coffee & Tea,"Coffee & Tea, Coffee & Espresso Restaurants, Coffee Shops, Restaurants",Indianapolis,5911 Madison Ave,(317) 783-4947,YellowPages
Peet's Coffee & Tea,"Coffee & Tea, Coffee & Espresso Restaurants, Coffee Shops, Restaurants",Indianapolis,5325 E Thompson Rd,(317) 781-3560,YellowPages
Olivers,"Hamburgers & Hot Dogs, Beer & Ale, American Restaurants, Restaurants",Columbus,26 N High St,(614) 867-5004,YellowPages
Meridian Plaza Deli,"Delicatessens, Restaurants",Indianapolis,10333 N Meridian St,(317) 575-8246,YellowPages
Pit Stop Pizza,"Pizza, Italian Restaurants, Restaurants",Indianapolis,4700 N Post Rd,(317) 897-7908,YellowPages
Puerto Vallarta Mexican Restaurant & Cantina,"Mexican Restaurants, Breakfast, Brunch & Lunch Restaurants, Family Style Restaurants, Latin American Restaurants, Restaurants",Indianapolis,5510 Lafayette Rd,(317) 280-0676,YellowPages
William Gammon,Restaurants,Indianapolis,2022 N Arlington Ave,(317) 255-8078,YellowPages
Entenmann's,Restaurants,Indianapolis,5016 E 62nd St,(317) 570-1741,YellowPages
Subway,"Restaurants, Sandwich Shops, Take Out Restaurants, Fast Food Restaurants",Indianapolis,11135 Pendleton Pike Suite 600 Sunnyside Kroger Sho,(317) 823-1388,YellowPages
Adobo Grill,"Mexican Restaurants, Breakfast, Brunch & Lunch Restaurants, Restaurants",Indianapolis,4939 E 82nd St,(317) 915-9990,YellowPages
Super Tortas,Restaurants,Indianapolis,1002 Main St,(317) 243-0244,YellowPages
Bombay Bites,Restaurants,Indianapolis,6693 E 82nd St,(317) 585-1000,YellowPages
Panera Bread,"Restaurants, Take Out Restaurants, Sandwich Shops, Health Food Restaurants",Indianapolis,8540 Castleton Corner Dr,(317) 570-0300,YellowPages
Chris And George Inc,"American Restaurants, Restaurants",Indianapolis,5024 E 56th St,(317) 536-0668,YellowPages
R Taco Veloz,"Mexican Restaurants, Restaurants",Indianapolis,2409 W Washington St,(317) 624-2692,YellowPages
J J's Mobile Bistro,"Coffee Shops, Restaurants",Indianapolis,3500 Depauw Blvd,(317) 876-3537,YellowPages
Texas Roadhouse,"Restaurants, American Restaurants, Steak Houses, Barbecue Restaurants",Columbus,1540 Bethel Rd,(614) 457-5322,YellowPages
Daisy's House of Flavor,Restaurants,Indianapolis,3622 E 25th St,(317) 591-0167,YellowPages
Tokyo Joe's,Restaurants,Indianapolis,8555 Ditch Rd,(317) 254-8083,YellowPages
Eddie Merlot's,"Seafood Restaurants, Steak Houses, Restaurants",Columbus,1570 Polaris Pkwy,(614) 433-7307,YellowPages
Happy Chicken,"Chicken Restaurants, Restaurants",Indianapolis,7245 Michigan Rd,(317) 297-1700,YellowPages
BLIMPIE,"Delicatessens, Take Out Restaurants, Sandwich Shops, Restaurants, Fast Food Restaurants",Indianapolis,5220 W Troy Ave,(317) 241-7611,YellowPages
Ohio Deli & Restaurant Inc,"Delicatessens, Family Style Restaurants, Restaurants",Columbus,3444 S High St,(614) 497-0577,YellowPages
J Wegs Express,"Delicatessens, Restaurants",Indianapolis,500 E 96th St,(317) 705-9731,YellowPages
J J's Mobile Bistro,Restaurants,Indianapolis,430 N Bosart Ave,(317) 876-3537,YellowPages
Lagniappes Inc,Restaurants,Indianapolis,925 E Westfield Blvd,(317) 253-2883,YellowPages
Tamale Place The C M,"Mexican Restaurants, Restaurants",Indianapolis,222 E Market St,(317) 423-2203,YellowPages
Greeks Pizzeria,"Pizza, Restaurants",Indianapolis,6336 Guilford Ave,(317) 426-4599,YellowPages
Starbucks Coffee,"Coffee & Espresso Restaurants, Restaurants, Coffee Shops, Coffee & Tea",Indianapolis,7460 N Shadeland Ave,(317) 577-0692,YellowPages
Taco Bell,"Fast Food Restaurants, Mexican Restaurants, Restaurants",Indianapolis,7275 W 10th St,(317) 248-9079,YellowPages
Great Wraps,"Take Out Restaurants, Fast Food Restaurants, Sandwich Shops, Restaurants",Indianapolis,9190 Priority Way West Dr Ste 210,(317) 573-2828,YellowPages
Long John Silver's,"Restaurants, Fast Food Restaurants",Indianapolis,1250 E Stop 11 Rd,(317) 883-4614,YellowPages
The Ripple Inn,Restaurants,Indianapolis,929 E Westfield Blvd,(317) 252-2600,YellowPages
Taste Of Europe,"Delicatessens, Restaurants",Indianapolis,4320 W 96th St,(317) 334-8797,YellowPages
Subway,"Sandwich Shops, Restaurants, Take Out Restaurants, Fast Food Restaurants",Indianapolis,909 Indiana Ave Lockefield Commons S/C,(317) 974-0490,YellowPages
Outback Steakhouse,"American Restaurants, Steak Houses, Restaurants, Barbecue Restaurants, Take Out Restaurants, Family Style Restaurants, Hamburgers & Hot Dogs",Indianapolis,5771 E 86th St,(317) 842-6283,YellowPages
Subway,"Sandwich Shops, Restaurants, Take Out Restaurants, Fast Food Restaurants",Indianapolis,5061 E Washington Bp Gas Stn/Rickers C-Store,(317) 351-1944,YellowPages
Dairy Queen,"Restaurants, Ice Cream & Frozen Desserts, Dessert Restaurants, Fast Food Restaurants, Hamburgers & Hot Dogs",Indianapolis,3740 Dr Martin Luther King Jr St,(317) 920-1953,YellowPages
Los Picachos,Restaurants,Indianapolis,8049 Madison Ave,(317) 889-9630,YellowPages
First Watch Restaurant,"Breakfast, Brunch & Lunch Restaurants, American Restaurants, Restaurants",Columbus,116 Worthington Mall,(614) 431-9040,YellowPages
McDonald's,"Fast Food Restaurants, Restaurants, Take Out Restaurants, Hamburgers & Hot Dogs",Indianapolis,4044 E Southport Rd,(317) 755-1115,YellowPages
Subway,"Sandwich Shops, Restaurants, Fast Food Restaurants, Take Out Restaurants",Indianapolis,5650 S Franklin Rd Ste 600F,(317) 862-6890,YellowPages
6 Lounge & Restaurant,"Japanese Restaurants, Bars, Taverns, Asian Restaurants, Restaurants",Indianapolis,247 S Meridian St,(317) 638-6660,YellowPages
Pastry House Restaurant,"Dessert Restaurants, Bakeries, Restaurants",Indianapolis,3836 Georgetown Rd,(317) 295-2059,YellowPages
Breakfast Express,Restaurants,Indianapolis,7220 Rockville Rd,(317) 381-0275,YellowPages
Number One Chinese Restaurant,"Chinese Restaurants, Asian Restaurants, Restaurants",Columbus,2036 N High St,(614) 299-1694,YellowPages
Jobu Ramen,"Japanese Restaurants, Asian Restaurants, Restaurants",Columbus,1439 Grandview Ave,(614) 481-5480,YellowPages
Rally's,"Fast Food Restaurants, Restaurants, Take Out Restaurants, American Restaurants, Hamburgers & Hot Dogs",Indianapolis,6742 E 82nd St,(317) 585-9546,YellowPages
Asian Gourmet & Sushi Bar,"Sushi Bars, Restaurants, Asian Restaurants, Japanese Restaurants",Columbus,1325 Stoneridge Dr,(614) 471-8871,YellowPages
Mr Dan's Restaurant,"Family Style Restaurants, American Restaurants, Hamburgers & Hot Dogs, Restaurants",Indianapolis,2502 N Keystone Ave,(317) 602-3975,YellowPages
Jockamo Upper Crust Pizza,"Pizza, Restaurants",Indianapolis,5646 E Washington St,(317) 356-6612,YellowPages
Tamale Place G W,"Mexican Restaurants, Latin American Restaurants, Restaurants",Indianapolis,1155 E Stop 11 Rd Ste # D,(317) 300-8748,YellowPages
Luca Pizza,"Pizza, Restaurants",Indianapolis,850 W Michigan St,(317) 638-2264,YellowPages
India Garden Restaurant,"Take Out Restaurants, Indian Restaurants, Asian Restaurants, Middle Eastern Restaurants, Fast Food Restaurants, Seafood Restaurants, Family Style Restaurants, Restaurants",Indianapolis,207 N Delaware St,(317) 634-6060,YellowPages
J Weg's Deli,"Delicatessens, Restaurants",Indianapolis,800 E 96th St,(317) 818-0747,YellowPages
Bearcats Restaurant,Restaurants,Indianapolis,1055 N Senate Ave,(317) 602-3509,YellowPages
Wendy's,"Fast Food Restaurants, Restaurants, Hamburgers & Hot Dogs",Indianapolis,2409 Post Dr,(317) 897-0435,YellowPages
Merritts Pizza,"Pizza, Restaurants",Indianapolis,5250 W 16th St,(317) 246-7000,YellowPages
Zen Sushi,"Japanese Restaurants, Restaurants",Columbus,505 N High St,(614) 222-1000,YellowPages
Indy's Kitchen,Restaurants,Indianapolis,2442 Central Ave,(317) 690-9089,YellowPages
El Puerto,"Mexican Restaurants, Restaurants",Indianapolis,4955 S Emerson Ave,(317) 786-1218,YellowPages
Charlie Browns Pancake and Steak House,"Steak Houses, American Restaurants, Barbecue Restaurants, Restaurants",Indianapolis,1038 Main St,(317) 243-2502,YellowPages
Edelweiss Restaurnat /German-American Klub,"German Restaurants, Family Style Restaurants, Banquet Halls & Reception Facilities, Continental Restaurants, Restaurants",Indianapolis,8602 S Meridian St,(317) 888-6940,YellowPages
Lynn's Cafe,"Coffee Shops, Restaurants",Indianapolis,3748 Lafayette Rd,(317) 295-9537,YellowPages
El Rodeo,Restaurants,Indianapolis,5501 W 86th St,(317) 228-0863,YellowPages
Starbucks Coffee,"Coffee Shops, Coffee Brewing Devices, Restaurants, Coffee & Espresso Restaurants, Coffee & Tea",Indianapolis,1250 E 86th St,(317) 569-1330,YellowPages
BLIMPIE,"Delicatessens, Restaurants, Take Out Restaurants, Sandwich Shops, Fast Food Restaurants",Indianapolis,4922 S Emerson Ave,(317) 787-0603,YellowPages
Z Gyro,"Greek Restaurants, Fast Food Restaurants, Restaurants",Indianapolis,7534 N Shadeland Ave,(317) 578-4050,YellowPages
Fazoli's,"Take Out Restaurants, Italian Restaurants, Restaurants, Family Style Restaurants, Pizza, Pasta",Indianapolis,7218 W 10th St,(317) 241-1653,YellowPages
Subway,"Sandwich Shops, Restaurants, Take Out Restaurants, Fast Food Restaurants",Indianapolis,7401 N Shadeland Ave,(317) 845-1500,YellowPages
McDonald's,"Restaurants, Take Out Restaurants, Hamburgers & Hot Dogs, Fast Food Restaurants",Indianapolis,6061 E 82nd St,(317) 849-5033,YellowPages
Taste Cafe & Marketplace,"Cafeterias, Breakfast, Brunch & Lunch Restaurants, Restaurants",Indianapolis,5164 N College Ave,(317) 925-2233,YellowPages
Tacos A La Diablos,"Mexican Restaurants, Restaurants",Indianapolis,8315 E Washington St,(317) 875-1138,YellowPages
Shapiro's Delicatessen,"Delicatessens, Bakeries, Caterers, Take Out Restaurants, Bagels, Restaurants",Indianapolis,808 S Meridian St,(317) 631-4041,YellowPages
Mikado Japanese Restaurant & Sushi,"Sushi Bars, Japanese Restaurants, Asian Restaurants, Caterers, Restaurants",Indianapolis,148 S Illinois St,(317) 972-4180,YellowPages
Buffalo Wild Wings,"Bar & Grills, Restaurants, Take Out Restaurants, Chicken Restaurants, Sports Bars",Indianapolis,10625 Pendleton Pike Ste A12,(317) 826-4833,YellowPages
Himalaya Kabob Korner,Restaurants,Indianapolis,6066 East 82nd Street,(317) 577-9610,YellowPages
40 West Coffee Cafe,Restaurants,Indianapolis,40 Jackson Pl,(317) 396-3629,YellowPages
Jd's Wings,"Barbecue Restaurants, Restaurants",Columbus,3322 Morse Rd,(614) 934-5349,YellowPages
Central American Restaurant,Restaurants,Indianapolis,3757 N Post Rd,(317) 897-9793,YellowPages
Panda Inn,"Chinese Restaurants, Take Out Restaurants, Asian Restaurants, Restaurants",Columbus,1446 Bethel Rd,(614) 459-2229,YellowPages
Guatelinda,Restaurants,Indianapolis,3107 Lafayette Rd,(317) 926-5754,YellowPages
Gallagher's Pizza Express,"Pizza, Restaurants",Indianapolis,7021 Madison Ave,(317) 788-6904,YellowPages
Tootie's Restaurant,"Family Style Restaurants, Restaurants",Columbus,1808 E Livingston Ave,(614) 725-4507,YellowPages
Hook Fish & Chicken,"Chicken Restaurants, Restaurants",Indianapolis,3106 W 16th St,(317) 423-0588,YellowPages
Scotty's Brewhouse,"American Restaurants, Bars, Night Clubs, Brew Pubs, Taverns, Restaurants",Indianapolis,1 Virginia Ave,(317) 571-0808,YellowPages
Sunshine Cafe,"Cafeterias, Breakfast, Brunch & Lunch Restaurants, Restaurants",Indianapolis,3003 Madison Ave,(317) 787-9200,YellowPages
Ritz Deli Intech Park,"Delicatessens, Restaurants",Indianapolis,6325 Digital Way Ste 165,(317) 275-3354,YellowPages
Gramboli's Pizza,"Pizza, Restaurants",Indianapolis,3816 N Mitthoeffer Rd,(317) 897-5550,YellowPages
Grindstone Charleys,Restaurants,Indianapolis,5383 Rockville Rd,(317) 243-8760,YellowPages
Il Panino By Cafe Olivia,Restaurants,Indianapolis,222 E Market St,(317) 385-7839,YellowPages
Educated Sandwich,"Sandwich Shops, Delicatessens, Caterers, Restaurants",Indianapolis,150 W Market St,(317) 916-9484,YellowPages
Keystone Sports Review,"Pizza, Restaurants",Indianapolis,5602 N Keystone Ave,(317) 251-9902,YellowPages
McCormick & Schmick's Seafood Restaurant,"Seafood Restaurants, Restaurants, American Restaurants, Steak Houses",Columbus,3965 New Bond St,(614) 476-3663,YellowPages
Starbucks Coffee,"Coffee Shops, Restaurants, Coffee & Tea, Coffee & Espresso Restaurants",Indianapolis,5550 Lafayette Rd,(317) 328-0247,YellowPages
Panera Bread,"American Restaurants, Coffee Shops, Sandwich Shops, Restaurants, Take Out Restaurants, Health Food Restaurants",Indianapolis,6050 W 86th St,(317) 871-0833,YellowPages
Village Restaurant Fine,"Indian Restaurants, Asian Restaurants, Family Style Restaurants, Restaurants",Indianapolis,4734 Century Plaza Rd,(317) 347-0598,YellowPages
Ball Park Pizza And Eatery,"Pizza, Restaurants",Indianapolis,5055 E 10th St,(317) 359-0059,YellowPages
Famous Soul Food II,Restaurants,Indianapolis,2340 Lafayette Rd,(317) 686-0369,YellowPages
Wings Ribs & More,"Soul Food Restaurants, Restaurants",Indianapolis,653 E 52ND ST,(317) 926-9464,YellowPages
Los Rancheros,"Mexican Restaurants, Latin American Restaurants, Restaurants",Indianapolis,7125 Georgetown Rd,(317) 268-0022,YellowPages
Hawk's Nest Pizza,"Pizza, Restaurants",Indianapolis,4903 S High School Rd Ste A,(317) 821-2223,YellowPages
All The Perks Espresso Cafe,"Coffee & Espresso Restaurants, Coffee Shops, Coffee & Tea, Breakfast, Brunch & Lunch Restaurants, Cafeterias, Restaurants",Indianapolis,8888 Keystone Xing,(317) 218-3022,YellowPages
Yats On The Ave,Restaurants,Indianapolis,910 W 10th St,(317) 602-8676,YellowPages
LongHorn Steakhouse,"Steak Houses, Take Out Restaurants, Seafood Restaurants, Restaurants, American Restaurants, Family Style Restaurants",Columbus,4950 N Hamilton Rd,(614) 414-2990,YellowPages
Subway,"Take Out Restaurants, Sandwich Shops, Restaurants, Fast Food Restaurants",Indianapolis,4650 S Emerson Ave Wal-Mart #5443,(317) 784-7000,YellowPages
Edamame Sushi & Grill,"Sushi Bars, Bar & Grills, Japanese Restaurants, Asian Restaurants, Restaurants",Columbus,3946 Morse Xing,(614) 471-0007,YellowPages
Zing,Restaurants,Indianapolis,543 Indiana Ave,(317) 636-7775,YellowPages
Charley's Grilled Subs,"Restaurants, American Restaurants, Fast Food Restaurants, Sandwich Shops",Indianapolis,6255 E 82nd St,(317) 842-1608,YellowPages
Papa John's Pizza,"Pizza, Take Out Restaurants, Restaurants",Indianapolis,3737B E Washington St,(317) 322-4035,YellowPages
Papa John's Pizza,"Pizza, Take Out Restaurants, Restaurants",Indianapolis,10574 E 96th St,(317) 841-7272,YellowPages
Hubbard & Cravens,"Coffee & Espresso Restaurants, Coffee Shops, Coffee & Tea, Restaurants",Indianapolis,6229 Carrollton Ave,(317) 803-4155,YellowPages
Super China Buffet,"Chinese Restaurants, Buffet Restaurants, Seafood Restaurants, Asian Restaurants, Restaurants",Indianapolis,11135 Pendleton Pike,(317) 826-9898,YellowPages
Mo'joe Coffee House,"Coffee & Espresso Restaurants, Restaurants",Indianapolis,222 W Michigan St,(317) 822-6656,YellowPages
Chef Dan's Southern Comfort Restaurant,"Restaurants, Creole & Cajun Restaurants, Soul Food Restaurants, Caterers",Indianapolis,5539 E Washington Street,(317) 737-1801,YellowPages
Peet's Coffee & Tea,"Coffee & Tea, Coffee & Espresso Restaurants, Coffee Shops, Restaurants",Indianapolis,5173 W Washington St,(317) 244-2290,YellowPages
McDonald's,"Restaurants, Take Out Restaurants, Fast Food Restaurants, Hamburgers & Hot Dogs",Indianapolis,3649 S Keystone Ave,(317) 780-1184,YellowPages
Mark Pi Express,"Chinese Restaurants, Take Out Restaurants, Korean Restaurants, Asian Restaurants, Restaurants",Columbus,1290 W 5th Ave,(614) 488-6336,YellowPages
Penn Station East Coast Subs,"Restaurants, Sandwich Shops, Take Out Restaurants",Indianapolis,3269 W 86th St,(317) 872-7366,YellowPages
McDonald's,"Fast Food Restaurants, Restaurants, Take Out Restaurants, Hamburgers & Hot Dogs",Indianapolis,7279 N Keystone Ave,(317) 254-1934,YellowPages
Cookies Wingin IT & More,Restaurants,Indianapolis,4638 E 10th St,(317) 356-2075,YellowPages
Lissco Inc,Restaurants,Indianapolis,5235 E Southport Rd,(317) 222-4380,YellowPages
